permalink,name,homepage_url,category_list,funding_total_usd,status,country_code,state_code,region,city,funding_rounds,founded_at,first_funding_at,last_funding_at,target,primary_category,funding_total_usd_clean,market_share,industry_hhi,clustering_coefficient,degree_centrality,weak_tie_ratio,num_investors,working_capital,breakout_velocity
/organization/-the-one-of-them-inc-,"(THE) ONE of THEM,Inc.",http://oneofthem.jp,Apps|Games|Mobile,3406878,operating,,,,,1,,2014-01-30,2014-01-30,1,Games,3406878.0,0.0007847893377203862,0.058216768033782215,0.0,0.0,0.0,0.0,15.041307180896489,0.0
/organization/0-6-com,0-6.com,http://www.0-6.com,Curated Web,2000000,operating,CHN,22,Beijing,Beijing,1,2007-01-01,2008-03-19,2008-03-19,1,Unknown,2000000.0,9.374765519402394e-06,0.0014423226788110742,0.012543204370609878,9.0,0.2173913043478261,1.0,14.508658238524095,275.6482426990349
/organization/004-technologies,004 Technologies,http://004gmbh.de/en/004-interact,Software,-,operating,USA,IL,"Springfield, Illinois",Champaign,1,2010-01-01,2014-07-24,2014-07-24,1,Unknown,0.0,0.0,0.0014423226788110742,0.008362136247073252,6.0,0.3225806451612903,1.0,0.0,0.0
/organization/01games-technology,01Games Technology,http://www.01games.hk/,Games,41250,operating,HKG,,Hong Kong,Hong Kong,1,,2014-07-01,2014-07-01,1,Unknown,41250.0,1.9335453883767436e-07,0.0014423226788110742,0.07525922622365927,54.0,0.03690036900369004,1.0,10.627430633893226,34.27242203875052
/organization/0ndine-biomedical-inc,Ondine Biomedical Inc.,http://ondinebio.com,Biotechnology,762851,operating,CAN,BC,Vancouver,Vancouver,2,1997-01-01,2009-09-11,2009-12-21,1,Unknown,762851.0,3.5757746256208174e-06,0.0014423226788110742,0.0,0.0,0.0,0.0,13.544819320285306,0.0
/organization/1,One Inc.,http://whatis1.com,Mobile,1150050,operating,USA,CA,SF Bay Area,San Francisco,3,2011-08-01,2011-07-20,2014-02-05,1,Unknown,1150050.0,5.390724542794361e-06,0.0014423226788110742,0.253651466161222,1456.0,0.010976948408342482,15.0,13.955316847182184,13.387735807980945
/organization/1-2-3-listo,"1,2,3 Listo",http://www.123listo.com,E-Commerce,40000,operating,CHL,12,Santiago,Las Condes,1,2012-01-01,2013-02-18,2013-02-18,1,Unknown,40000.0,1.8749531038804785e-07,0.0014423226788110742,0.49894079607537073,358.0,0.005583472920156337,1.0,10.596659732783579,5.170817527430184
/organization/1-4-all,1-4 All,,Entertainment|Games|Software,-,operating,USA,NC,NC - Other,Connellys Springs,1,,2013-04-21,2013-04-21,1,Games,0.0,0.0,0.058216768033782215,0.0,0.0,0.0,0.0,0.0,0.0
/organization/1-618-technology,1.618 Technology,http://www.Homeandcondogallery.com,Networking|Real Estate|Web Hosting,-,operating,USA,FL,Orlando,Orlando,1,2013-12-07,2014-01-22,2014-01-22,1,Real Estate,0.0,0.0,0.3929387571350549,0.0,0.0,0.0,0.0,0.0,0.0
/organization/1-mainstream,1 Mainstream,http://www.1mainstream.com,Apps|Cable|Distribution|Software,5000000,acquired,USA,CA,SF Bay Area,Cupertino,1,2012-03-01,2015-03-17,2015-03-17,1,Cable,5000000.0,0.15748031496062992,0.7085994171988343,0.0,0.0,10.0,1.0,15.424948670398354,214.65295269130888
/organization/1-of-99,1 of 99,,Entertainment|Games,100000,operating,USA,CA,SF Bay Area,Mountain View,1,2014-12-01,2014-12-13,2014-12-13,1,Games,100000.0,2.303544000461379e-05,0.058216768033782215,0.0,0.0,0.0,0.0,11.51293546492023,0.0
/organization/10-20-media,10-20 Media,http://www.10-20media.com,E-Commerce,2050000,operating,USA,MD,Baltimore,Woodbine,4,2001-01-01,2009-06-18,2011-12-28,1,Unknown,2050000.0,9.609134657387453e-06,0.0014423226788110742,0.0,0.0,0.0,0.0,14.53335083891935,0.0
/organization/1000-markets,1000 Markets,http://www.1000markets.com,Art|E-Commerce|Marketplaces,500000,acquired,USA,WA,Seattle,Seattle,1,2009-01-01,2009-05-15,2009-05-15,1,E-Commerce,500000.0,2.7179844928909196e-05,0.08048398670297363,0.1902385996209165,273.0,0.01463057790782736,3.0,13.122365377402328,2.1217874674254573
/organization/1000chi,Beijing 1000CHI Software Technology,http://www.1000chi.com/,Mobile,43923865,operating,,,,,1,2008-01-01,2010-04-01,2010-04-01,1,Unknown,43923865.0,0.0002058879675404428,0.0014423226788110742,0.0013936893745122088,1.0,1.6666666666666667,1.0,17.59796837497111,2563.286153949477
/organization/1000memories,1000memories,http://1000memories.com,Curated Web,2535000,acquired,USA,CA,SF Bay Area,San Francisco,2,2010-07-01,2010-01-01,2011-02-16,1,Unknown,2535000.0,1.1882515295842533e-05,0.0014423226788110742,0.28570632177500277,1640.0,0.009746588693957116,15.0,14.74570458948466,12.56041467021765
/organization/1000museums-com,1000museums.com,http://www.1000museums.com,Curated Web,6795451,operating,USA,MA,MA - Other,Lenox,9,2008-01-01,2009-10-14,2015-11-13,1,Unknown,6795451.0,3.1852879861794255e-05,0.0014423226788110742,0.05818653138588471,501.0,0.04767580452920143,23.0,15.73176412285469,65.548274792986
/organization/1006-tv,1006.tv,http://www.1006.tv/,Games|Media,10000000,operating,CHN,22,Beijing,Beijing,3,2009-01-01,2011-01-01,2014-07-31,1,Media,10000000.0,0.01415650340968374,0.06251313191885319,0.2783396779382954,699.0,0.010004287551807918,6.0,16.118095750958314,2.223736038054589
/organization/1010data,1010data,http://www.1010data.com,Software,35000000,acquired,USA,NY,New York City,New York,1,2000-01-01,2010-03-08,2010-03-08,1,Unknown,35000000.0,0.00016405839658954188,0.0014423226788110742,0.29685583677110045,213.0,0.009380863039399626,1.0,17.370858648025116,14.241308380129166
